cntry;essround;idno;pspwght;pweight;polintr;happy;gndr;yrbrn;agea;chldhm;edulvla;eisced;eduyrs;pdwrk;edctn;wkhtot;isco08;uemp3m;hinctnta
CH;8;1;0.899777412;0.464939934;2;8;1;1960;56;2;3;3;9;1;0;60;1200;1;10
CH;8;3;1.102796197;0.464939934;2;6;2;1953;63;2;3;3;12;1;0;20;5419;1;1
CH;8;5;1.022381425;0.464939934;2;8;1;1987;29;2;5;7;18;1;0;50;2210;2;10
CH;8;6;1.090924263;0.464939934;3;8;2;1949;67;2;2;2;9;0;0;37;5223;2;1
CH;8;9;1.032253623;0.464939934;2;8;1;1963;53;2;3;3;10;0;0;44;7112;1;77
CH;8;14;0.890090764;0.464939934;2;5;1;1948;68;2;3;3;9;0;0;46;4220;1;2
CH;8;21;0.890090764;0.464939934;2;9;1;1961;55;2;3;3;9;1;0;45;8300;2;5
CH;8;22;0.924070776;0.464939934;3;3;2;1955;61;2;2;2;8;0;0;44;8100;2;77
CH;8;24;1.140466452;0.464939934;2;8;2;1980;36;2;5;6;13;1;0;24;5223;2;4
CH;8;27;1.102796197;0.464939934;1;10;2;1941;75;2;4;5;16;0;0;55;1120;1;5
CH;8;28;1.160116434;0.464939934;3;9;2;1997;20;2;3;4;17;0;1;666;66666;2;88
CH;8;33;0.890090764;0.464939934;1;10;1;1961;55;2;5;5;9;1;0;50;3120;2;10
CH;8;34;1.186012149;0.464939934;2;8;1;1980;36;1;88;88;14;1;0;50;1120;1;3
CH;8;39;1.001342416;0.464939934;2;7;1;1973;43;2;3;3;13;1;0;50;3123;2;6
CH;8;41;1.210716963;0.464939934;2;5;2;1937;79;2;2;2;9;0;0;0;5120;2;77
CH;8;43;1.147626638;0.464939934;1;10;2;1988;28;2;5;6;18;1;0;50;1000;2;2
CH;8;45;1.032253623;0.464939934;1;8;1;1963;53;2;3;3;13;1;0;45;8331;2;4
CH;8;46;1.090924263;0.464939934;2;9;2;1949;67;2;2;2;12;0;0;48;3256;2;3
CH;8;50;0.78312695;0.464939934;2;6;1;1948;68;2;3;3;8;0;0;42;3350;1;2
CH;8;54;1.003414631;0.464939934;2;10;2;1969;47;2;3;4;10;1;0;50;3321;2;2
CH;8;55;0.993800044;0.464939934;2;8;1;1977;39;2;3;3;12;1;0;4;3311;2;77
CH;8;59;0.924070776;0.464939934;4;9;2;1951;65;2;1;1;8;0;0;10;9110;2;3
CH;8;61;1.090924263;0.464939934;3;5;2;1945;71;2;2;2;4;0;0;50;5120;2;88
CH;8;63;1.102796197;0.464939934;3;9;2;1939;77;2;5;5;12;0;0;30;3343;2;2
CH;8;68;0.899777412;0.464939934;3;8;1;1953;63;2;5;5;9;0;0;40;3112;2;2
CH;8;73;0.899777412;0.464939934;1;6;1;1959;57;2;5;6;12;1;0;20;2620;1;77
CH;8;78;1.140466452;0.464939934;2;9;2;1977;40;2;5;5;11;1;0;43;4120;2;3
CH;8;81;1.032253623;0.464939934;3;8;1;1974;42;1;2;2;9;1;0;45;8332;1;4
CH;8;85;0.959825993;0.464939934;2;7;2;1951;65;2;3;4;15;0;0;60;2341;2;3
CH;8;86;1.003414631;0.464939934;3;9;2;1979;37;2;5;5;9;1;0;42;2300;1;4
CH;8;88;0.959825993;0.464939934;2;7;2;1940;76;2;3;3;9;0;0;45;6113;2;9
CH;8;91;1.160116434;0.464939934;4;9;2;1984;32;2;5;6;18;1;0;40;2341;2;4
CH;8;92;0.899777412;0.464939934;3;6;1;1950;66;2;1;1;9;0;0;40;7311;2;2
CH;8;94;0.890090764;0.464939934;1;9;1;1958;58;2;3;3;9;1;0;53;3432;1;1
CH;8;96;0.9878304;0.464939934;2;8;1;1942;74;2;3;3;14;0;0;666;66666;2;2
CH;8;98;1.090924263;0.464939934;2;2;2;1956;60;2;3;3;8;1;0;22;3341;1;6
CH;8;103;1.152878165;0.464939934;3;9;2;1963;54;2;5;6;14;1;0;40;2341;2;5
CH;8;105;0.890090764;0.464939934;2;4;1;1951;65;2;3;3;9;1;0;45;7320;2;3
CH;8;108;0.866011918;0.464939934;3;8;1;1990;26;2;3;3;9;1;0;41;3100;2;10
CH;8;109;0.959825993;0.464939934;2;9;2;1946;70;2;3;3;9;0;0;50;2222;2;4
CH;8;110;0.93108362;0.464939934;2;7;2;1954;62;2;5;5;13;0;0;30;3323;2;5
CH;8;112;0.959825993;0.464939934;1;10;2;1948;68;2;5;5;9;0;0;45;4110;2;4
